name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus14_dtpo-full_L8_s103,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-full_L8_s104,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-gate_L16_s100,ok,bus14,dtpo-gate,16,100,DTPO,bus14,0,16,5,63.58,63.58,63.58,63.58,0.0,40,0,40
bus14_dtpo-gate_L16_s101,ok,bus14,dtpo-gate,16,101,DTPO,bus14,0,16,5,62.21,62.21,8.90,63.58,0.0,40,0,60
bus14_dtpo-gate_L16_s102,ok,bus14,dtpo-gate,16,102,DTPO,bus14,0,16,9,100.00,100.00,100.00,100.00,100.0,40,2,53
bus14_dtpo-gate_L16_s103,ok,bus14,dtpo-gate,16,103,DTPO,bus14,0,16,6,62.02,62.02,37.33,63.58,0.0,40,0,37
bus14_dtpo-gate_L16_s104,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-replay_L16_s100,ok,bus14,dtpo-replay,16,100,DTPO,bus14,0,16,6,63.49,63.49,60.02,63.58,0.0,40,21,0
bus14_dtpo-replay_L16_s101,ok,bus14,dtpo-replay,16,101,DTPO,bus14,0,16,6,63.58,63.58,63.58,63.58,0.0,40,19,0
bus14_dtpo-replay_L16_s102,ok,bus14,dtpo-replay,16,102,DTPO,bus14,0,16,9,66.26,66.26,13.54,100.00,25.0,40,12,0
bus14_dtpo-replay_L16_s103,ok,bus14,dtpo-replay,16,103,DTPO,bus14,0,16,6,63.55,63.55,63.54,63.58,0.0,40,15,0
bus14_dtpo-replay_L16_s104,ok,bus14,dtpo-replay,16,104,DTPO,bus14,0,16,6,62.50,62.50,35.01,63.58,0.0,40,5,0
bus14_dtpo-scratchfull_L16_s100,ok,bus14,dtpo-scratchfull,16,100,DTPO,bus14,0,16,8,14.08,14.08,13.54,35.00,0.0,40,0,0
bus14_dtpo-scratchfull_L16_s101,ok,bus14,dtpo-scratchfull,16,101,DTPO,bus14,0,16,12,13.53,13.53,13.53,13.54,0.0,40,0,0
bus14_dtpo-scratchfull_L16_s102,ok,bus14,dtpo-scratchfull,16,102,DTPO,bus14,0,16,10,13.78,13.78,13.42,17.13,0.0,40,0,0
bus14_dtpo-scratchfull_L16_s103,ok,bus14,dtpo-scratchfull,16,103,DTPO,bus14,0,16,10,13.53,13.53,13.53,13.53,0.0,40,0,0
bus14_dtpo-scratchfull_L16_s104,ok,bus14,dtpo-scratchfull,16,104,DTPO,bus14,0,16,7,13.54,13.54,13.53,13.54,0.0,40,0,0
bus14_dtpo-ws_L16_s100,ok,bus14,dtpo-ws,16,100,DTPO,bus14,0,16,6,61.06,61.06,13.53,63.58,0.0,40,32,0
bus14_dtpo-ws_L16_s101,ok,bus14,dtpo-ws,16,101,DTPO,bus14,0,16,6,62.68,62.68,38.49,63.58,0.0,40,6,0
